Row Created Date Time, Sponsor Name, Sponsor Code, Agency Name, Agency Code,Facility Name, Facility Code, Program Name, Program Code, Populations Served, Agency Phone, Program Phone,  Program Address 1, Program Address 2, Program City, Program State, Program Zip, Operating Certificate Required?, Program Tier, Operating Certificate Duration, Program County, Program Region, Program Type Description, Program Category Description, Program Subcategory Description,Georeference
05/04/2022 09:38:35 AM,Bronx Psychiatric Center,921099,Bronx Psychiatric Center,90190,Bronx Psychiatric Center,0021,H.A.V.E.N. House,712,Adults,(718)931-0600,Not Available,,,,NY,,Y,,6,Bronx,New York City,SRO Community Residence,Residential,Treatment Program,POINT (-75.59655 42.921241)
05/04/2022 09:38:35 AM,Odyssey House Inc.,999999,Odyssey House Inc.,19400,Odyssey House Inc.,8822,Soundview,003,Adults,(212)361-1600,Not Available,,,,NY,,N,,,Bronx,New York City,Supportive Single Room Occupancy (SP-SRO),Residential,Unlicensed Housing,POINT (-75.59655 42.921241)
05/04/2022 09:38:35 AM,Urban Pathways,534099,Urban Pathways,19690,Urban Pathways,8084,Urban Pathways SH/MRT Supp Housing Bronx - Comm Svcs,634,Adults,(212)736-7385,Not Available,,,,NY,,N,,,Bronx,New York City,Supportive Housing,Residential,Unlicensed Housing,POINT (-75.59655 42.921241)
05/04/2022 09:38:35 AM,Astor Services for Children & Families,029099,Astor Services for Children & Families,18320,Astor Services for Children & Families,7211,Health Home Non Medicaid Care Management,054,Children Adolescents,(845)871-1000,(845)616-5289,46 Lincoln Avenue,,Poughkeepsie,NY,12601,N,,,Dutchess,Hudson River,Health Home Non-Medicaid Care Management,Support,Care Coordination,POINT (-73.93393 41.695554)
05/04/2022 09:38:35 AM,Transitional Services Inc.,461099,Transitional Services Inc.,10200,Transitional Services Inc.,6295,Transitional Living - On the Strip,440,Adults,(716)874-8182,Not Available,,,,NY,,Y,,36,Erie,Western New York,Apartment/Treatment,Residential,Treatment Program,POINT (-75.59655 42.921241)
05/04/2022 09:38:35 AM,Ohel Children's Home & Family Services Inc.,325099,Ohel Children's Home & Family Services Inc.,19210,Ohel Children's Home & Family Services Inc.,7637,Ohel Supported Housing/Brooklyn - Comm. Svcs,630,Adults,(718)435-5533,Not Available,,,,NY,,N,,,Kings,New York City,Supportive Housing,Residential,Unlicensed Housing,POINT (-75.59655 42.921241)
05/04/2022 09:38:35 AM,Services for the Underserved Inc.,419099,Services for the Underserved Inc.,22360,Services for the Underserved Inc.,7320,Bright Corner Respite,024,Adults,(212)633-6900,Not Available,,,,NY,,N,,,Kings,New York City,Crisis/Respite Beds,Emergency,Crisis,POINT (-75.59655 42.921241)
05/04/2022 09:38:35 AM,The Bridge Inc.,046099,The Bridge Inc.,18130,The Bridge Inc.,6142,Non-Medicaid Care Coordination ? Manhattan-Queens,017,Adults,(212)663-3000,(718)557-1489x19,1060 Myrtle Avenue,,Brooklyn,NY,11206,N,,,Kings,New York City,Health Home Non-Medicaid Care Management,Support,Care Coordination,POINT (-73.939056 40.696548)
05/04/2022 09:38:35 AM,St. Mary's Healthcare,302099,St. Mary's Healthcare,85350,St. Mary's Healthcare,7328,Non-Medicaid Care Coordination - Montgomery Co.,036,Adults,(518)842-1900,(518)842-1900x420,427 Guy Park Avenue,,Amsterdam,NY,12010,N,,,Montgomery,Central New York,Non-Medicaid Care Coordination,Support,Care Coordination,POINT (-74.215651 42.95352)
05/04/2022 09:38:35 AM,CHDFS Inc.,000939,CHDFS INC.,48090,CHDFS INC.,8365,Family Peer Support Services,004,Children,(212)695-4562,(212)695-4564,307 West 38 Steet 6th Floor,,New York City,NY,10018,N,,,New York,New York City,CFTSS: Family Peer Support Services (FPSS),Support,General Support,
05/04/2022 09:38:35 AM,Community Access Inc.,109099,Community Access Inc.,18800,Community Access Inc.,7422,Crisis Respite Center,028,Adults,(212)780-1400,Not Available,,,,NY,,N,,,New York,New York City,Crisis/Respite Beds,Emergency,Crisis,POINT (-75.59655 42.921241)
05/04/2022 09:38:35 AM,Lantern Community Services,378099,Lantern Community Services,46230,Lantern Community Services,7894,Prospero Hall SP/SRO,007,Adults,(212)398-3073,Not Available,,,,NY,,N,,,New York,New York City,Supportive Single Room Occupancy (SP-SRO),Residential,Unlicensed Housing,POINT (-75.59655 42.921241)
05/04/2022 09:38:35 AM,Odyssey House Inc.,999999,Odyssey House Inc.,19400,Odyssey House Inc.,8822,Odyssey House Park Avenue,001,Adults,(212)361-1600,Not Available,,,,NY,,Y,,36,New York,New York City,SRO Community Residence,Residential,Treatment Program,POINT (-75.59655 42.921241)
05/04/2022 09:38:35 AM,Volunteers of America,714099,Volunteers of America,22790,Volunteers of America,7977,On-Site Rehabilitation,420,Adults,(347)717-4030,(212)369-8900x214,65 Charles Gay Loop,Ward'S Island,New York,NY,10035,N,,,New York,New York City,On-Site Rehabilitation,Support,General Support,
05/04/2022 09:38:35 AM,Helio Health Inc.,000798,Helio Health Inc.,36090,Helio Health Inc.,8138,Transition Management Services,021,Adults,(315)474-5506,(315)768-4744,6075 Judd Road,,Oriskany,NY,13424,N,,,Oneida,Central New York,Transition Management Services,Support,Care Coordination,POINT (-75.375518 43.156695)
05/04/2022 09:38:35 AM,Upstate Cerebral Palsy Inc.,478099,Upstate Cerebral Palsy Inc.,40640,Upstate Cerebral Palsy Inc.,6282,Advocacy,474,,(315)724-6907,(315)738-1428x236,1427 Genesee Streeet,,Utica,NY,13501,N,,,Oneida,Central New York,Advocacy/Support Services,Support,Self-Help,
